Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
TAFE institutes,Queensland,15 to 19 years,Not known,Totals,,"3,275","2,055","1,930","1,910","1,945"
TAFE institutes,Queensland,15 to 19 years,Not known,Advanced diploma,,15,15,5,-,-
TAFE institutes,Queensland,15 to 19 years,Not known,Diploma,,835,450,260,185,110
TAFE institutes,Queensland,15 to 19 years,Not known,Certificate IV,,300,250,145,75,55
TAFE institutes,Queensland,15 to 19 years,Not known,Certificate III,,760,435,420,475,420
TAFE institutes,Queensland,15 to 19 years,Not known,Certificate II,,800,625,735,800,980
TAFE institutes,Queensland,15 to 19 years,Not known,Certificate I,,330,180,260,300,280
TAFE institutes,Queensland,15 to 19 years,Not known,Non-AQF level,,240,95,105,70,100
TAFE institutes,South Australia,Totals,,,,"15,495","14,460","9,920","8,400","8,710"
TAFE institutes,South Australia,15 to 19 years,Totals,,,"15,495","14,460","9,920","8,400","8,710"
TAFE institutes,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Totals,,-,5,5,-,5
TAFE institutes,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,-,5,5,-,-
TAFE institutes,South Australia,15 to 19 years,Diploma,Totals,,30,25,25,20,25
TAFE institutes,South Australia,15 to 19 years,Diploma,Advanced diploma,,10,5,-,10,5
TAFE institutes,South Australia,15 to 19 years,Diploma,Diploma,,15,15,15,10,15
TAFE institutes,South Australia,15 to 19 years,Diploma,Certificate IV,,-,-,5,-,-
TAFE institutes,South Australia,15 to 19 years,Diploma,Certificate III,,5,-,5,-,-
TAFE institutes,South Australia,15 to 19 years,Certificate IV,Totals,,85,80,95,70,60
TAFE institutes,South Australia,15 to 19 years,Certificate IV,Advanced diploma,,10,10,10,15,10
TAFE institutes,South Australia,15 to 19 years,Certificate IV,Diploma,,30,25,35,20,15
TAFE institutes,South Australia,15 to 19 years,Certificate IV,Certificate IV,,35,35,45,30,25
TAFE institutes,South Australia,15 to 19 years,Certificate IV,Certificate III,,5,5,5,5,5
TAFE institutes,South Australia,15 to 19 years,Certificate IV,Certificate II,,-,5,-,-,-
TAFE institutes,South Australia,15 to 19 years,Certificate III,Totals,,545,485,410,270,310
TAFE institutes,South Australia,15 to 19 years,Certificate III,Advanced diploma,,5,5,5,5,5
TAFE institutes,South Australia,15 to 19 years,Certificate III,Diploma,,75,85,75,40,60
TAFE institutes,South Australia,15 to 19 years,Certificate III,Certificate IV,,65,75,75,50,70
TAFE institutes,South Australia,15 to 19 years,Certificate III,Certificate III,,330,260,210,145,160
TAFE institutes,South Australia,15 to 19 years,Certificate III,Certificate II,,75,55,35,20,10
TAFE institutes,South Australia,15 to 19 years,Certificate III,Certificate I,,5,5,5,5,5
TAFE institutes,South Australia,15 to 19 years,Certificate III,Non-AQF level,,-,-,-,5,-
TAFE institutes,South Australia,15 to 19 years,Year 12,Totals,,"3,125","2,760","2,400","2,290","2,455"
TAFE institutes,South Australia,15 to 19 years,Year 12,Advanced diploma,,45,30,65,30,20
TAFE institutes,South Australia,15 to 19 years,Year 12,Diploma,,340,340,265,230,225
TAFE institutes,South Australia,15 to 19 years,Year 12,Certificate IV,,345,295,245,250,260
TAFE institutes,South Australia,15 to 19 years,Year 12,Certificate III,,"1,725","1,540","1,475","1,465","1,605"
TAFE institutes,South Australia,15 to 19 years,Year 12,Certificate II,,595,520,325,280,300
TAFE institutes,South Australia,15 to 19 years,Year 12,Certificate I,,70,35,25,20,20
TAFE institutes,South Australia,15 to 19 years,Year 12,Non-AQF level,,5,-,5,15,20
TAFE institutes,South Australia,15 to 19 years,Year 11,Totals,,"3,950","3,755","2,495","2,320","2,570"
TAFE institutes,South Australia,15 to 19 years,Year 11,Advanced diploma,,110,30,-,15,5
TAFE institutes,South Australia,15 to 19 years,Year 11,Diploma,,45,55,45,30,35
TAFE institutes,South Australia,15 to 19 years,Year 11,Certificate IV,,75,70,60,35,55
TAFE institutes,South Australia,15 to 19 years,Year 11,Certificate III,,"1,705","1,645","1,350","1,220","1,270"
TAFE institutes,South Australia,15 to 19 years,Year 11,Certificate II,,"1,865","1,805","1,020","1,005","1,185"
TAFE institutes,South Australia,15 to 19 years,Year 11,Certificate I,,145,145,20,10,15
TAFE institutes,South Australia,15 to 19 years,Year 11,Non-AQF level,,5,5,-,5,-
TAFE institutes,South Australia,15 to 19 years,Certificate II,Totals,,95,90,70,60,55
TAFE institutes,South Australia,15 to 19 years,Certificate II,Diploma,,5,-,-,-,-
TAFE institutes,South Australia,15 to 19 years,Certificate II,Certificate IV,,5,-,-,5,5
TAFE institutes,South Australia,15 to 19 years,Certificate II,Certificate III,,50,45,30,35,30
TAFE institutes,South Australia,15 to 19 years,Certificate II,Certificate II,,40,40,40,25,20
TAFE institutes,South Australia,15 to 19 years,Certificate II,Certificate I,,5,-,-,-,-
TAFE institutes,South Australia,15 to 19 years,Year 10,Totals,,"5,120","4,940","3,770","2,585","2,555"
TAFE institutes,South Australia,15 to 19 years,Year 10,Diploma,,15,15,20,20,25
TAFE institutes,South Australia,15 to 19 years,Year 10,Certificate IV,,45,45,45,35,60
TAFE institutes,South Australia,15 to 19 years,Year 10,Certificate III,,"1,420","1,280","1,280",890,935
TAFE institutes,South Australia,15 to 19 years,Year 10,Certificate II,,"3,010","2,855","2,375","1,620","1,470"
TAFE institutes,South Australia,15 to 19 years,Year 10,Certificate I,,625,740,50,20,50
TAFE institutes,South Australia,15 to 19 years,Year 10,Non-AQF level,,10,5,5,5,10
TAFE institutes,South Australia,15 to 19 years,Certificate I,Totals,,10,10,-,-,-
TAFE institutes,South Australia,15 to 19 years,Certificate I,Certificate II,,-,5,-,-,-
TAFE institutes,South Australia,15 to 19 years,Certificate I,Certificate I,,10,5,-,-,-
TAFE institutes,South Australia,15 to 19 years,Miscellaneous education,Totals,,5,-,-,-,-
TAFE institutes,South Australia,15 to 19 years,Miscellaneous education,Certificate I,,5,-,-,-,-
TAFE institutes,South Australia,15 to 19 years,Year 9 or lower,Totals,,"1,745","1,695",510,190,290
TAFE institutes,South Australia,15 to 19 years,Year 9 or lower,Diploma,,-,5,-,-,-
TAFE institutes,South Australia,15 to 19 years,Year 9 or lower,Certificate IV,,5,5,5,-,15
TAFE institutes,South Australia,15 to 19 years,Year 9 or lower,Certificate III,,245,320,190,95,130
TAFE institutes,South Australia,15 to 19 years,Year 9 or lower,Certificate II,,865,740,255,75,125
TAFE institutes,South Australia,15 to 19 years,Year 9 or lower,Certificate I,,615,615,50,15,20
TAFE institutes,South Australia,15 to 19 years,Year 9 or lower,Non-AQF level,,10,5,5,-,-
TAFE institutes,South Australia,15 to 19 years,Did not go to school,Totals,,20,5,-,5,5
TAFE institutes,South Australia,15 to 19 years,Did not go to school,Certificate III,,5,5,-,-,-
TAFE institutes,South Australia,15 to 19 years,Did not go to school,Certificate II,,5,-,-,-,-
TAFE institutes,South Australia,15 to 19 years,Did not go to school,Certificate I,,5,-,-,-,-
TAFE institutes,South Australia,15 to 19 years,Did not go to school,Non-AQF level,,5,-,-,-,-
TAFE institutes,South Australia,15 to 19 years,Not known,Totals,,760,615,135,585,380
TAFE institutes,South Australia,15 to 19 years,Not known,Advanced diploma,,-,25,-,-,-
TAFE institutes,South Australia,15 to 19 years,Not known,Diploma,,5,5,-,-,5
TAFE institutes,South Australia,15 to 19 years,Not known,Certificate IV,,20,5,5,10,5
TAFE institutes,South Australia,15 to 19 years,Not known,Certificate III,,255,240,40,150,120
TAFE institutes,South Australia,15 to 19 years,Not known,Certificate II,,340,205,55,300,155
TAFE institutes,South Australia,15 to 19 years,Not known,Certificate I,,125,120,30,110,70
TAFE institutes,South Australia,15 to 19 years,Not known,Non-AQF level,,10,10,5,15,25
TAFE institutes,Western Australia,Totals,,,,"44,240","40,225","40,720","39,195","41,990"
TAFE institutes,Western Australia,15 to 19 years,Totals,,,"44,240","40,225","40,720","39,195","41,990"
TAFE institutes,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Totals,,50,35,75,45,45
TAFE institutes,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,15,-,-,-,-
TAFE institutes,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate IV,,5,5,10,5,5
TAFE institutes,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,15,10,25,20,25
TAFE institutes,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate II,,-,10,15,10,10
TAFE institutes,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Non-AQF level,,10,10,20,10,10
TAFE institutes,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Totals,,10,5,5,-,5
TAFE institutes,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Diploma,,5,-,-,-,-
TAFE institutes,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Certificate IV,,5,5,-,-,-
TAFE institutes,Western Australia,15 to 19 years,Diploma,Totals,,65,85,45,45,160
TAFE institutes,Western Australia,15 to 19 years,Diploma,Advanced diploma,,5,5,-,-,15
TAFE institutes,Western Australia,15 to 19 years,Diploma,Diploma,,20,35,10,10,50
TAFE institutes,Western Australia,15 to 19 years,Diploma,Certificate IV,,10,5,5,5,10
TAFE institutes,Western Australia,15 to 19 years,Diploma,Certificate III,,10,10,10,5,10
TAFE institutes,Western Australia,15 to 19 years,Diploma,Certificate II,,5,5,-,-,5
TAFE institutes,Western Australia,15 to 19 years,Diploma,Non-AQF level,,20,30,20,20,70
TAFE institutes,Western Australia,15 to 19 years,Certificate IV,Totals,,390,375,330,460,605
TAFE institutes,Western Australia,15 to 19 years,Certificate IV,Advanced diploma,,5,-,5,10,5
TAFE institutes,Western Australia,15 to 19 years,Certificate IV,Diploma,,100,85,70,80,110
TAFE institutes,Western Australia,15 to 19 years,Certificate IV,Certificate IV,,75,75,75,95,140
TAFE institutes,Western Australia,15 to 19 years,Certificate IV,Certificate III,,45,55,45,60,90
TAFE institutes,Western Australia,15 to 19 years,Certificate IV,Certificate II,,30,20,15,30,35
TAFE institutes,Western Australia,15 to 19 years,Certificate IV,Non-AQF level,,135,135,120,180,225
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Totals,,"1,120","1,265","1,370","1,470","1,925"
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Advanced diploma,,15,5,5,5,5
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Diploma,,130,80,135,85,130
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Certificate IV,,225,250,285,275,370
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Certificate III,,310,390,325,440,580
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Certificate II,,105,100,130,95,150
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Certificate I,,10,-,5,5,10
TAFE institutes,Western Australia,15 to 19 years,Certificate III,Non-AQF level,,325,440,485,565,680
TAFE institutes,Western Australia,15 to 19 years,Year 12,Totals,,"5,470","5,480","4,935","5,460","6,080"
TAFE institutes,Western Australia,15 to 19 years,Year 12,Advanced diploma,,30,25,25,30,25
TAFE institutes,Western Australia,15 to 19 years,Year 12,Diploma,,515,450,315,335,450
TAFE institutes,Western Australia,15 to 19 years,Year 12,Certificate IV,,735,675,555,485,710
TAFE institutes,Western Australia,15 to 19 years,Year 12,Certificate III,,"1,555","1,565","1,390","1,815","1,905"
TAFE institutes,Western Australia,15 to 19 years,Year 12,Certificate II,,680,625,660,550,540
TAFE institutes,Western Australia,15 to 19 years,Year 12,Certificate I,,60,55,45,30,30
TAFE institutes,Western Australia,15 to 19 years,Year 12,Non-AQF level,,"1,895","2,085","1,940","2,220","2,425"
TAFE institutes,Western Australia,15 to 19 years,Year 11,Totals,,"11,295","9,720","8,505","8,620","9,325"
TAFE institutes,Western Australia,15 to 19 years,Year 11,Advanced diploma,,10,10,5,15,5
TAFE institutes,Western Australia,15 to 19 years,Year 11,Diploma,,245,130,175,100,90
TAFE institutes,Western Australia,15 to 19 years,Year 11,Certificate IV,,695,470,610,660,895
TAFE institutes,Western Australia,15 to 19 years,Year 11,Certificate III,,"3,160","3,225","2,440","2,830","3,005"
TAFE institutes,Western Australia,15 to 19 years,Year 11,Certificate II,,"6,135","5,090","4,140","3,910","4,140"
TAFE institutes,Western Australia,15 to 19 years,Year 11,Certificate I,,130,80,105,60,60
TAFE institutes,Western Australia,15 to 19 years,Year 11,Non-AQF level,,925,715,"1,030","1,045","1,125"
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Totals,,780,645,740,780,965
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Advanced diploma,,5,-,-,-,-
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Diploma,,20,10,5,10,5
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Certificate IV,,40,45,35,50,45
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Certificate III,,275,225,235,265,345
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Certificate II,,215,185,260,215,285
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Certificate I,,20,10,15,10,20
TAFE institutes,Western Australia,15 to 19 years,Certificate II,Non-AQF level,,205,160,190,230,265
TAFE institutes,Western Australia,15 to 19 years,Year 10,Totals,,"15,705","12,150","13,190","12,935","13,915"
TAFE institutes,Western Australia,15 to 19 years,Year 10,Advanced diploma,,15,15,10,10,-
TAFE institutes,Western Australia,15 to 19 years,Year 10,Diploma,,175,130,110,145,145
TAFE institutes,Western Australia,15 to 19 years,Year 10,Certificate IV,,625,450,580,685,815
TAFE institutes,Western Australia,15 to 19 years,Year 10,Certificate III,,"3,715","3,035","3,550","4,145","4,715"
TAFE institutes,Western Australia,15 to 19 years,Year 10,Certificate II,,"9,725","7,280","7,450","6,115","6,445"
TAFE institutes,Western Australia,15 to 19 years,Year 10,Certificate I,,340,270,285,285,285
TAFE institutes,Western Australia,15 to 19 years,Year 10,Non-AQF level,,"1,115",975,"1,205","1,555","1,505"
TAFE institutes,Western Australia,15 to 19 years,Certificate I,Totals,,85,60,70,65,145
TAFE institutes,Western Australia,15 to 19 years,Certificate I,Certificate IV,,5,5,5,-,-
TAFE institutes,Western Australia,15 to 19 years,Certificate I,Certificate III,,10,15,10,10,30
TAFE institutes,Western Australia,15 to 19 years,Certificate I,Certificate II,,25,15,30,20,40
TAFE institutes,Western Australia,15 to 19 years,Certificate I,Certificate I,,20,15,5,15,55
TAFE institutes,Western Australia,15 to 19 years,Certificate I,Non-AQF level,,20,10,20,15,15
TAFE institutes,Western Australia,15 to 19 years,Miscellaneous education,Totals,,20,15,35,25,130
TAFE institutes,Western Australia,15 to 19 years,Miscellaneous education,Certificate IV,,-,-,-,-,5
TAFE institutes,Western Australia,15 to 19 years,Miscellaneous education,Certificate III,,10,5,10,10,35
TAFE institutes,Western Australia,15 to 19 years,Miscellaneous education,Certificate II,,-,5,10,5,40
TAFE institutes,Western Australia,15 to 19 years,Miscellaneous education,Certificate I,,-,-,-,-,25
TAFE institutes,Western Australia,15 to 19 years,Miscellaneous education,Non-AQF level,,5,-,10,10,25
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Totals,,"2,310","2,495","3,520","3,135","3,550"
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Advanced diploma,,-,-,5,-,-
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Diploma,,25,25,20,25,45
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Certificate IV,,60,60,70,85,90
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Certificate III,,310,425,575,760,870
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Certificate II,,"1,075","1,265","1,900","1,190","1,385"
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Certificate I,,630,460,585,560,610
TAFE institutes,Western Australia,15 to 19 years,Year 9 or lower,Non-AQF level,,210,255,370,510,550
TAFE institutes,Western Australia,15 to 19 years,Did not go to school,Totals,,25,20,30,15,30
TAFE institutes,Western Australia,15 to 19 years,Did not go to school,Certificate III,,5,5,5,5,5
TAFE institutes,Western Australia,15 to 19 years,Did not go to school,Certificate II,,10,10,10,-,10
TAFE institutes,Western Australia,15 to 19 years,Did not go to school,Certificate I,,-,-,5,5,10
TAFE institutes,Western Australia,15 to 19 years,Did not go to school,Non-AQF level,,5,5,5,-,5
TAFE institutes,Western Australia,15 to 19 years,Not known,Totals,,"6,915","7,875","7,860","6,145","5,120"
TAFE institutes,Western Australia,15 to 19 years,Not known,Advanced diploma,,30,25,55,30,15
TAFE institutes,Western Australia,15 to 19 years,Not known,Diploma,,530,600,620,395,265
TAFE institutes,Western Australia,15 to 19 years,Not known,Certificate IV,,710,805,710,575,330
TAFE institutes,Western Australia,15 to 19 years,Not known,Certificate III,,"2,505","2,690","2,970","2,430","2,410"
TAFE institutes,Western Australia,15 to 19 years,Not known,Certificate II,,"1,050","1,050",860,550,495
TAFE institutes,Western Australia,15 to 19 years,Not known,Certificate I,,200,90,145,120,135
TAFE institutes,Western Australia,15 to 19 years,Not known,Non-AQF level,,"1,890","2,620","2,505","2,045","1,470"
TAFE institutes,Tasmania,Totals,,,,"3,830","2,975","3,765","4,600","4,475"
TAFE institutes,Tasmania,15 to 19 years,Totals,,,"3,830","2,975","3,765","4,600","4,475"
TAFE institutes,Tasmania,15 to 19 years,Bachelor degree / Higher degree level,Totals,,5,-,-,-,-
TAFE institutes,Tasmania,15 to 19 years,Bachelor degree / Higher degree level,Non-AQF level,,5,-,-,-,-
TAFE institutes,Tasmania,15 to 19 years,Advanced diploma / Associate degree,Totals,,-,-,-,5,5
TAFE institutes,Tasmania,15 to 19 years,Diploma,Totals,,10,5,5,5,5
